"ctuid","area_km"
"x",0
5350528.43,0.72
5350528.44,0.68
5350528.45,0.98
5350528.46,0.89
5350528.47,1.61
5350528.48,2.29
5350528.49,1.73
5350529.01,1.00
5350529.02,0.79
5350530.01,0.84
5350530.02,0.40
5350531.01,0.67
5350531.02,1.34
5350532.01,0.83
5350532.02,0.69
5350540.01,1.55
5350540.02,1.08
5350550.01,7.56
5350550.02,3.00
5350560.00,4.14
5350561.00,4.65
5350562.02,2.05
5350562.03,1.07
5350562.04,1.05
5350562.05,1.29
5350562.06,0.83
5350562.07,1.11
5350562.08,1.04
5350562.09,1.00
5350562.11,0.77
5350562.12,0.92
5350562.13,5.97
5350562.14,0.99
5350562.15,0.97
5350563.01,0.86
5350563.02,1.01
5350564.01,0.84
5350564.02,0.92
5350570.01,8.14
5350570.02,1.31
5350571.01,0.73
5350571.02,1.36
5350572.01,2.10
5350572.04,0.80
5350572.05,0.82
5350572.07,1.19
5350572.08,0.86
5350572.09,1.69
5350572.1,0.48
5350573.03,1.39
5350573.05,1.39
5350573.06,0.83
5350573.07,1.54
5350573.09,1.38
5350573.1,0.80
5350573.11,0.68
5350574.00,1.99
5350575.01,1.21
5350575.02,1.00
5350575.03,1.08
5350575.04,1.57
5350575.05,1.56
5350575.07,0.74
5350575.08,1.00
5350576.04,3.24
5350576.05,1.53
5350576.06,2.23
5350576.07,3.55
5350576.09,1.87
5350576.1,5.87
5350576.16,0.99
5350576.17,1.18
5350576.2,0.97
5350576.22,1.74
5350576.24,27.04
5350576.29,0.73
5350576.31,1.62
5350576.32,1.72
5350576.33,0.76
5350576.34,1.80
5350576.4,29.19
5350576.41,1.19
5350576.42,1.91
5350576.43,1.40
5350576.44,0.87
5350576.45,0.55
5350576.46,0.68
5350576.47,1.54
5350576.49,0.76
5350576.5,1.22
5350576.52,0.90
5350576.53,0.83
5350576.54,2.59
5350576.55,1.13
5350576.56,1.19
5350576.57,2.96
5350576.58,2.79
5350576.59,0.93
5350576.6,1.78
5350576.61,2.02
5350576.62,1.19
5350576.63,2.32
5350576.64,1.83
5350576.65,1.49
5350576.66,2.94
5350576.67,1.24
5350576.68,1.11
5350576.69,1.59
5350576.7,23.28
5350576.71,7.87
5350576.72,22.61
5350585.02,76.89
5350585.03,8.18
5350585.05,4.07
5350585.07,98.94
5350585.08,42.76
5350585.09,2.51
5350585.1,1.95
5350586.01,84.23
5350586.02,85.50
5350587.01,131.27
5350587.02,151.88
5350590.00,1.87
5350591.01,3.14
5350591.02,2.96
