"","ctuid","bg_mean","bg_median","bg_scale"
"463","5350341.03",2,2,-0.993529427585662
"464","5350341.04",1,1,1.82330138202741
"465","5350342.00",1,1,-0.180588991827938
"466","5350343.00",3,3,0.743392260502795
"467","5350344.01",2,2,0.920703288271273
"468","5350344.02",3,3,-1.17183315798812
"469","5350345.00",2,2,-0.79937755000841
"470","5350346.01",1,1,-0.595835497762605
"471","5350346.02",1,1,-0.156727972088489
"472","5350347.00",2,2,1.14558887147974
"473","5350348.00",1,1,-3.65768567658093
"474","5350349.00",4,4,-1.66454585415208
"475","5350350.00",1,1,-1.01789650943582
"476","5350351.01",2,2,-4.10832035354395
"477","5350351.02",2,2,-3.95092155716615
"478","5350352.00",2,2,-1.94617746627319
"479","5350353.02",2,2,-1.89974382134697
"480","5350353.03",1,1,0.139225676210194
"481","5350353.04",2,2,-2.01991008787506
"482","5350354.00",2,2,-0.68378596594522
"483","5350355.02",2,2,-1.66013943202425
"484","5350355.04",0,0,0.707798170581151
"485","5350355.05",1,1,-1.29805624458829
"486","5350355.06",1,1,-1.93906099412011
"487","5350356.00",4,3,0.345342525646962
"488","5350357.01",3,3,-0.711923034148032
"489","5350357.02",4,4,-1.52688474430101
"490","5350358.01",2,1,-1.06724901976124
"491","5350358.02",2,2,-1.87941966165113
"492","5350358.03",2,2,-1.41118801195377
"493","5350359.00",2,2,-2.00346523723729
"494","5350360.00",2,2,-2.72859677326962
"495","5350361.01",3,3,-1.54215077750996
"496","5350361.02",3,3,-1.52657426603143
"497","5350362.01",3,3,-1.78000569843722
"498","5350362.02",2,2,0.976641911461859
"499","5350362.03",3,3,-2.19734611197535
"500","5350362.04",4,4,-2.3353883734887
"501","5350363.02",3,3,-4.5155971120473
"502","5350363.04",2,2,-1.11179585574495
"503","5350363.05",3,3,-5.68489769779648
"504","5350363.06",3,3,3.96656245458039
"505","5350363.07",3,3,-0.692118251168613
"506","5350364.01",3,3,-2.36061699895576
"507","5350364.02",4,4,-3.13215694772688
"508","5350365.00",3,3,-3.04634383017392
"509","5350366.00",1,1,-0.887301135396744
"510","5350367.01",2,2,-2.72217975948931
"511","5350367.02",3,3,-3.62058796147679
"512","5350368.01",3,3,-10.2055298743096
"513","5350368.02",3,3,-5.90668221935096
"514","5350369.00",5,5,0.312370494974072
"515","5350370.01",3,3,3.93028393697849
"516","5350370.02",3,2,-2.31955527270455
"517","5350370.03",2,1,-1.03283298989
"518","5350371.00",3,3,-2.28496684170292
"519","5350372.00",2,2,-1.85474391031496
"520","5350373.00",3,4,-2.34628599721145
"521","5350374.01",3,3,-3.37482336533236
