,ctuid,pop_elderly_prop,pop_child_prop,pop_immig,pop_nodegree,pop_unemployed,inc_lico_p,inc_total30p,dw_majorrep,dw_lone_prop,dw_no_car,Ai_jobs_transit,Ai_activities_transit,Ai_jobs_auto,Ai_activities_auto,Ai_jobs_ratio,Ai_activities_ratio,Ai_combine,SESi,pop,mean_nonworktrip_time_adult,mean_commute_time_adult,R_trips_per_day,R_activities_per_day
319,5350263.02,,,,,,,,,,,,,,,,,,,,,,,
320,5350263.03,,,,,,,,,,,,,,,,,,,,,,,
321,5350263.04,,,,,,,,,,,,,,,,,,,,,,,
322,5350264.00,,,,,,,,,,,,,,,,,,,,,,,
323,5350265.00,,,,,,,,,,,,,,,,,,,,,,,
324,5350266.00,,,,,,,,,,,,,,,,,,,,,,,
325,5350267.00,,,,,,,,,,,,,,,,,,,,,,,
326,5350268.00,,,,,,,,,,,,,,,,,,,,,,,
327,5350269.01,,,,,,,,,,,,,,,,,,,,,,,
328,5350269.02,,,,,,,,,,,,,,,,,,,,,,,
329,5350270.01,,,,,,,,,,,,,,,,,,,,,,,
330,5350270.02,,,,,,,,,,,,,,,,,,,,,,,
331,5350271.01,,,,,,,,,,,,,,,,,,,,,,,
332,5350271.02,,,,,,,,,,,,,,,,,,,,,,,
333,5350272.01,,,,,,,,,,,,,,,,,,,,,,,
334,5350272.02,,,,,,,,,,,,,,,,,,,,,,,
335,5350273.01,,,,,,,,,,,,,,,,,,,,,,,
336,5350273.02,,,,,,,,,,,,,,,,,,,,,,,
337,5350274.01,,,,,,,,,,,,,,,,,,,,,,,
338,5350274.02,,,,,,,,,,,,,,,,,,,,,,,
339,5350275.00,,,,,,,,,,,,,,,,,,,,,,,
340,5350276.01,,,,,,,,,,,,,,,,,,,,,,,
341,5350276.02,,,,,,,,,,,,,,,,,,,,,,,
342,5350277.00,,,,,,,,,,,,,,,,,,,,,,,
343,5350278.00,,,,,,,,,,,,,,,,,,,,,,,
344,5350279.01,,,,,,,,,,,,,,,,,,,,,,,
345,5350279.02,,,,,,,,,,,,,,,,,,,,,,,
346,5350280.00,,,,,,,,,,,,,,,,,,,,,,,
347,5350281.01,,,,,,,,,,,,,,,,,,,,,,,
348,5350281.02,,,,,,,,,,,,,,,,,,,,,,,
349,5350282.00,,,,,,,,,,,,,,,,,,,,,,,
350,5350283.01,,,,,,,,,,,,,,,,,,,,,,,
351,5350283.02,,,,,,,,,,,,,,,,,,,,,,,
352,5350284.00,,,,,,,,,,,,,,,,,,,,,,,
353,5350285.00,,,,,,,,,,,,,,,,,,,,,,,
354,5350286.00,,,,,,,,,,,,,,,,,,,,,,,
355,5350287.02,,,,,,,,,,,,,,,,,,,,,,,
356,5350287.03,,,,,,,,,,,,,,,,,,,,,,,
357,5350287.04,,,,,,,,,,,,,,,,,,,,,,,
358,5350288.00,,,,,,,,,,,,,,,,,,,,,,,
359,5350289.00,,,,,,,,,,,,,,,,,,,,,,,
360,5350290.01,,,,,,,,,,,,,,,,,,,,,,,
361,5350290.02,,,,,,,,,,,,,,,,,,,,,,,
362,5350291.02,,,,,,,,,,,,,,,,,,,,,,,
363,5350291.03,,,,,,,,,,,,,,,,,,,,,,,
364,5350291.04,,,,,,,,,,,,,,,,,,,,,,,
365,5350292.00,,,,,,,,,,,,,,,,,,,,,,,
366,5350293.00,,,,,,,,,,,,,,,,,,,,,,,
367,5350294.01,,,,,,,,,,,,,,,,,,,,,,,
368,5350294.02,,,,,,,,,,,,,,,,,,,,,,,
369,5350295.00,,,,,,,,,,,,,,,,,,,,,,,
370,5350296.00,,,,,,,,,,,,,,,,,,,,,,,
371,5350297.01,,,,,,,,,,,,,,,,,,,,,,,
372,5350297.02,,,,,,,,,,,,,,,,,,,,,,,
373,5350298.00,,,,,,,,,,,,,,,,,,,,,,,
374,5350299.01,,,,,,,,,,,,,,,,,,,,,,,
375,5350299.02,,,,,,,,,,,,,,,,,,,,,,,
376,5350300.00,,,,,,,,,,,,,,,,,,,,,,,
377,5350301.01,,,,,,,,,,,,,,,,,,,,,,,
378,5350301.03,,,,,,,,,,,,,,,,,,,,,,,
379,5350301.04,,,,,,,,,,,,,,,,,,,,,,,
380,5350302.01,,,,,,,,,,,,,,,,,,,,,,,
381,5350302.02,,,,,,,,,,,,,,,,,,,,,,,
382,5350302.03,,,,,,,,,,,,,,,,,,,,,,,
383,5350303.00,,,,,,,,,,,,,,,,,,,,,,,
384,5350304.01,,,,,,,,,,,,,,,,,,,,,,,
385,5350304.02,,,,,,,,,,,,,,,,,,,,,,,
386,5350304.03,,,,,,,,,,,,,,,,,,,,,,,
387,5350304.04,,,,,,,,,,,,,,,,,,,,,,,
388,5350304.05,,,,,,,,,,,,,,,,,,,,,,,
389,5350304.06,,,,,,,,,,,,,,,,,,,,,,,
390,5350305.01,,,,,,,,,,,,,,,,,,,,,,,
391,5350305.03,,,,,,,,,,,,,,,,,,,,,,,
392,5350305.04,,,,,,,,,,,,,,,,,,,,,,,
393,5350306.01,,,,,,,,,,,,,,,,,,,,,,,
394,5350306.02,,,,,,,,,,,,,,,,,,,,,,,
395,5350307.03,,,,,,,,,,,,,,,,,,,,,,,
396,5350307.04,,,,,,,,,,,,,,,,,,,,,,,
397,5350307.05,,,,,,,,,,,,,,,,,,,,,,,
398,5350307.06,,,,,,,,,,,,,,,,,,,,,,,
399,5350307.07,,,,,,,,,,,,,,,,,,,,,,,
400,5350308.02,,,,,,,,,,,,,,,,,,,,,,,
401,5350308.03,,,,,,,,,,,,,,,,,,,,,,,
402,5350308.04,,,,,,,,,,,,,,,,,,,,,,,
403,5350309.00,,,,,,,,,,,,,,,,,,,,,,,
404,5350310.01,,,,,,,,,,,,,,,,,,,,,,,
405,5350310.02,,,,,,,,,,,,,,,,,,,,,,,
406,5350311.02,,,,,,,,,,,,,,,,,,,,,,,
407,5350311.03,,,,,,,,,,,,,,,,,,,,,,,
408,5350311.04,,,,,,,,,,,,,,,,,,,,,,,
409,5350311.05,,,,,,,,,,,,,,,,,,,,,,,
410,5350311.06,,,,,,,,,,,,,,,,,,,,,,,
411,5350312.02,,,,,,,,,,,,,,,,,,,,,,,
412,5350312.03,,,,,,,,,,,,,,,,,,,,,,,
413,5350312.04,,,,,,,,,,,,,,,,,,,,,,,
414,5350312.05,,,,,,,,,,,,,,,,,,,,,,,
415,5350312.06,,,,,,,,,,,,,,,,,,,,,,,
416,5350312.07,,,,,,,,,,,,,,,,,,,,,,,
417,5350313.00,,,,,,,,,,,,,,,,,,,,,,,
